roster_year,player_number,first_name,last_name,year,position1,height,weight,home_town,state_or_country,high_school,alternative_school,college,college_league,bio_link,is_starter,accolade
2016,15,Matt,Poplawski,Senior,Midfielder,5'10,170,Bellevue,WA,Lakeside School (Crossfire),,University of Pennsylvania,IVY,https://pennathletics.com/roster.aspx?rp_id=4252,Y,
2006,3,Matt,Reichenbach,Freshman,Defender,6'1,175,Kingsville,MD,Loyola Blakefield,,Lafayette College,PATRIOT,https://www.goleopards.com/roster.aspx?rp_id=3430,N,
2007,3,Matt,Reichenbach,Sophomore,Defender,6'1,175,Kingsville,MD,Loyola Blakefield,,Lafayette College,PATRIOT,https://www.goleopards.com/roster.aspx?rp_id=3410,Y,
2008,3,Matt,Reichenbach,Junior,Defender,6'1,175,Kingsville,MD,Loyola Blakefield,,Lafayette College,PATRIOT,https://www.goleopards.com/roster.aspx?rp_id=3391,Y,
2009,3,Matt,Reichenbach,Senior,Defender,6'1,175,Kingsville,MD,Loyola Blakefield,,Lafayette College,PATRIOT,https://www.goleopards.com/roster.aspx?rp_id=3365,N,
2014,3,Matt,Reinikka,Freshman,Defender,6'1,175,Mill Creek,WA,,,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=3731,,
2015,3,Matt,Reinikka,Sophomore,Defender,6'1,175,Mill Creek,WA,,,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=4286,,
2016,3,Matt,Reinikka,Junior,Defender,6'1,185,Mill Creek,WA,,,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=4813,,
2017,3,Matt,Reinikka,Senior,Defender,6'1,185,Mill Creek,WA,,,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=5673,Y,
2016,22,Matt,Rytel,Freshman,Midfielder,,175,Pittsburgh,PA,Shady Side Academy,,Lafayette College,PATRIOT,https://www.goleopards.com/roster.aspx?rp_id=3172,,
2017,8,Matt,Rytel,Sophomore,Midfielder,,175,Pittsburgh,PA,Shady Side Academy,,Lafayette College,PATRIOT,https://www.goleopards.com/roster.aspx?rp_id=3131,N,
2018,28,Matt,Rytel,Junior,Midfielder,6'0,165,Pittsburgh,PA,Shady Side Academy,,Brown University,IVY,https://brownbears.com/roster.aspx?rp_id=9147,N,
2014,1,Matt,Sanchez,Sophomore,Goalkeeper,6'2,180,Owings Mills,MD,McDonogh School,Old Dominion,Loyola University Maryland,PATRIOT,https://loyolagreyhounds.com/roster.aspx?rp_id=2207,Y,
2015,1,Matt,Sanchez,Junior,Goalkeeper,6'2,180,Owings Mills,MD,McDonogh School,Old Dominion,Loyola University Maryland,PATRIOT,https://loyolagreyhounds.com/roster.aspx?rp_id=2180,Y,
2016,1,Matt,Sanchez,Senior,Goalkeeper,6'2,180,Owings Mills,MD,McDonogh School,Old Dominion,Loyola University Maryland,PATRIOT,https://loyolagreyhounds.com/roster.aspx?rp_id=2157,Y,First Team
2007,6,Matt,Sanford,Freshman,Defender,6'0,175,Princeton,NJ,Hun School of Princeton,,Northeastern University,COLONIAL ATHLETIC ASSOCIATION,https://nuhuskies.com/roster.aspx?rp_id=5498,Y,Rookie Team
2008,6,Matt,Sanford,Sophomore,Defender,6'0,175,Princeton,NJ,Hun School of Princeton,,Northeastern University,COLONIAL ATHLETIC ASSOCIATION,https://nuhuskies.com/roster.aspx?rp_id=5468,Y,
2009,6,Matt,Sanford,Junior,Defender,6'0,175,Princeton,NJ,Hun School of Princeton,,Northeastern University,COLONIAL ATHLETIC ASSOCIATION,https://nuhuskies.com/roster.aspx?rp_id=20,Y,Third Team
2010,6,Matt,Sanford,Senior,Defender,6'0,175,Princeton,NJ,Hun School of Princeton,,Northeastern University,COLONIAL ATHLETIC ASSOCIATION,https://nuhuskies.com/roster.aspx?rp_id=585,Y,Second Team
2009,17,Matt,Sanner,Freshman,Forward,6'0,175,Indianapolis,IN,North Central,,Princeton University,IVY,https://goprincetontigers.com/roster.aspx?rp_id=9539,Y,Honorable Mention
2010,17,Matt,Sanner,Sophomore,Forward,6'0,175,Indianapolis,IN,North Central,,Princeton University,IVY,https://goprincetontigers.com/roster.aspx?rp_id=9570,Y,Second Team
2011,17,Matt,Sanner,Junior,Forward,6'0,175,Indianapolis,IN,North Central,,Princeton University,IVY,https://goprincetontigers.com/roster.aspx?rp_id=9597,Y,First Team
2012,17,Matt,Sanner,Senior,Midfielder,6'0,175,Indianapolis,IN,North Central,,Princeton University,IVY,https://goprincetontigers.com/roster.aspx?rp_id=9696,Y,First Team
2013,24,Matt,Saunders,Freshman,Midfielder,5'11,175,Fairfield,ME,Lawrence,,Naval Academy,PATRIOT,https://navysports.com/roster.aspx?rp_id=5388,N,
2014,24,Matt,Saunders,Sophomore,Midfielder,5'11,182,Fairfield,ME,Lawrence,,Naval Academy,PATRIOT,https://navysports.com/roster.aspx?rp_id=5360,N,
2015,24,Matt,Saunders,Junior,Midfielder,5'11,185,Fairfield,ME,Lawrence,,Naval Academy,PATRIOT,https://navysports.com/roster.aspx?rp_id=5329,N,
2016,24,Matt,Saunders,Senior,Midfielder,5'11,185,Fairfield,ME,Lawrence,,Naval Academy,PATRIOT,https://navysports.com/roster.aspx?rp_id=5298,,
2008,6,Matt,Schuber,Freshman,Forward,6'0,180,Webster,NY,Webster Thomas,,Colgate University,PATRIOT,https://gocolgateraiders.com/roster.aspx?rp_id=1617,Y,
2009,6,Matt,Schuber,Sophomore,Forward,6'0,180,Webster,NY,Webster Thomas,,Colgate University,PATRIOT,https://gocolgateraiders.com/roster.aspx?rp_id=2426,N,
2010,6,Matt,Schuber,Junior,Forward,6'0,180,Webster,NY,Webster Thomas,,Colgate University,PATRIOT,https://gocolgateraiders.com/roster.aspx?rp_id=3228,Y,First Team
2011,6,Matt,Schuber,Senior,Forward,6'0,180,Webster,NY,Webster Thomas,,Colgate University,PATRIOT,https://gocolgateraiders.com/roster.aspx?rp_id=3814,N,
2011,22,Matt,Sheeleigh,Freshman,Midfielder,5'11,150,New Vernon,NJ,The Pingry School,,Harvard University,IVY,https://www.gocrimson.com/sports/msoc/2011-12/bios/matt_sheeleigh,,
2012,6,Matt,Sheeleigh,Sophomore,Midfielder,5'11,150,New Vernon,NJ,The Pingry School,,Harvard University,IVY,https://www.gocrimson.com/sports/msoc/2012-13/Bios/sheeleigh_matt_n98d,N,
2013,6,Matt,Sheeleigh,Junior,Midfielder,5'11,150,New Vernon,NJ,The Pingry School,,Harvard University,IVY,https://www.gocrimson.com/sports/msoc/2013-14/bios/sheeleigh_matt_0fd9,,
2014,6,Matt,Sheeleigh,Junior,Midfielder,5'11,150,New Vernon,NJ,The Pingry School,,Harvard University,IVY,https://www.gocrimson.com/sports/msoc/2014-15/bios/sheeleigh_matt_vi4d,Y,
2015,9,Matt,Sheeleigh,Senior,Midfielder,5'11,150,New Vernon,NJ,The Pingry School,,Harvard University,IVY,https://www.gocrimson.com/sports/msoc/2015-16/bios/sheeleigh_matt_3uqv,Y,
2011,16,Matt,Shreiner,Freshman,Midfielder,6'0,,Marietta,GA,,George Walton High School,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=1653,N,
2012,14,Matt,Shreiner,Sophomore,Midfielder,6'0,,Marietta,GA,,George Walton High School,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=4038,N,
2013,14,Matt,Shreiner,Junior,Midfielder,6'0,,Marietta,GA,,George Walton High School,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=6104,N,
2014,14,Matt,Shreiner,Senior,Midfielder,6'0,,Marietta,GA,,George Walton High School,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=9912,N,
2017,8,Matt,Sloan,Freshman,Defender,6'1,190,Hicksville,NY,Hicksville,,American University,PATRIOT,http://www.aueagles.com/sports/m-soccer/2017-18/bios/mcconnell_oscar_upp3,Y,
2018,15,Matt,Sloan,Sophomore,Defender,6'1,190,Hicksville,NY,Hicksville,,American University,PATRIOT,http://www.aueagles.com/sports/m-soccer/2018-19/bios/mino_john_j69w,Y,
2011,27,Matt,Slotnick,Freshman,Forward,5'7,150,Greenlawn,NY,Friends Academy,,Duke University,ATLANTIC COAST,http://www.goduke.com/ViewArticle.dbml?ATCLID=205159932&DB_OEM_ID=4200&Q_SEASON=2011,N,
2012,7,Matt,Slotnick,Sophomore,Forward,5'8,149,Greenlawn,NY,Friends Academy,,Duke University,ATLANTIC COAST,http://www.goduke.com/ViewArticle.dbml?ATCLID=205159932&DB_OEM_ID=4200&Q_SEASON=2012,N,
2013,7,Matt,Slotnick,Junior,Forward,5'8,149,Greenlawn,NY,Friends Academy,,Duke University,ATLANTIC COAST,http://www.goduke.com/ViewArticle.dbml?ATCLID=205159932&DB_OEM_ID=4200&Q_SEASON=2013,N,
2014,7,Matt,Slotnick,Senior,Forward,5'8,149,Greenlawn,NY,Friends Academy,,Duke University,ATLANTIC COAST,http://www.goduke.com/ViewArticle.dbml?ATCLID=205159932&DB_OEM_ID=4200&Q_SEASON=2014,N,
2007,24,Matt,Stengel,Freshman,Defender,6'0,155,Ocean,NJ,Ocean Township,,Cornell University,IVY,https://cornellbigred.com/roster.aspx?rp_id=7392&path=msoccer,,
2008,6,Matt,Stengel,Sophomore,Defender,6'0,155,Ocean,NJ,Ocean Township,,Cornell University,IVY,https://cornellbigred.com/roster.aspx?rp_id=10328&path=msoccer,,
2009,4,Matt,Stengel,Junior,Defender,6'0,155,Ocean,NJ,Ocean Township,,Cornell University,IVY,https://cornellbigred.com/roster.aspx?rp_id=11392&path=msoccer,,
2010,4,Matt,Stengel,Senior,Defender,6'0,155,Ocean,NJ,Ocean Township,,Cornell University,IVY,https://cornellbigred.com/roster.aspx?rp_id=13856&path=msoccer,,
2011,0,Matt,Stith,Freshman,Goalkeeper,5'10,160,Montclair,NJ,Montclair,,Syracuse University,ATLANTIC COAST,https://cuse.com/roster.aspx?rp_id=8516,,
2012,0,Matt,Stith,Freshman,Goalkeeper,5'10,160,Montclair,NJ,Montclair,,Syracuse University,ATLANTIC COAST,https://cuse.com/roster.aspx?rp_id=9225,,
2013,0,Matt,Stith,Sophomore,Goalkeeper,5'10,160,Montclair,NJ,Montclair,,Syracuse University,ATLANTIC COAST,https://cuse.com/roster.aspx?rp_id=10277,,
2014,0,Matt,Stith,Junior,Goalkeeper,5'10,160,Montclair,NJ,Montclair,,Syracuse University,ATLANTIC COAST,https://cuse.com/roster.aspx?rp_id=10918,,
