city,institution,stateorprovince,country,LATITUDE,LONGITUDE,school_type
,Grand River Academy,MI,USA,42.440855,-83.322709,BOARDING
,Green Mountain Valley School,VT,USA,44.185585,-72.850449,BOARDING
,Greenbrier Academy,WV,USA,37.6853868,-80.7186933,BOARDING
,Greenbrier Military School,WV,USA,37.8036346,-80.4359198,BOARDING
,Groton School,MA,USA,42.5934946,-71.5840156,BOARDING
,Grove School,OK,USA,36.5878416,-94.7763638,BOARDING
,Hackley School,NY,USA,41.0701861,-73.8433723,BOARDING
,Hampshire Country School,NH,USA,42.740854,-71.939519,BOARDING
,Hargrave Military Academy,VA,USA,36.831854,-79.401055,BOARDING
,Hawthorne Academy,TX,USA,29.4464221,-98.4828749,BOARDING
,High Mowing School,NH,USA,42.8182076,-71.7436339,BOARDING
,Highland Academy,TN,USA,36.5219428,-86.4967704,BOARDING
,Hockaday School,TX,USA,32.907513,-96.82718,BOARDING
,Holderness School,NH,USA,43.7595485,-71.673532,BOARDING
,Hotchkiss School,CT,USA,41.9449278,-73.4398639,BOARDING
,Howe Military Academy,IN,USA,41.726298,-85.4239715,BOARDING
,Idyllwild Arts Academy,CA,USA,33.733713,-116.7468108,BOARDING
,Illinois Mathematics and Science Academy,IL,USA,41.7869998,-88.3547522,BOARDING
,IMG Academy,FL,USA,27.4408534,-82.6086662,BOARDING
,Immaculate Conception Academy,PA,USA,40.2521476,-75.7958526,BOARDING
,Immaculate Conception Apostolic School,IL,USA,38.4678457,-90.2137332,BOARDING
,Indian Mountain School,CT,USA,41.9367027,-73.4673034,BOARDING
,Indian Springs School,AL,USA,33.3413356,-86.7717035,BOARDING
,Interlochen Arts Academy,MI,USA,44.6290799,-85.7673104,BOARDING
,John Dewey Academy,MA,USA,42.1916908,-73.3633631,BOARDING
,Kent School,CT,USA,41.7267191,-73.4826493,BOARDING
,Kents Hill School,ME,USA,44.404548,-70.002111,BOARDING
,Kimball Union Academy,NH,USA,43.5465399,-72.2558301,BOARDING
,La Lumiere School,IN,USA,41.7054471,-86.7141761,BOARDING
,Lake Forest Academy,IL,USA,42.2475915,-87.8912923,BOARDING
,Lawrence Academy at Groton,MA,USA,42.6053483,-71.566719,BOARDING
,Lewisville Female Seminary,TX,USA,33.046233,-96.994174,BOARDING
,Linden Hall,PA,USA,40.0744264,-79.7032785,BOARDING
,Linsly School,WV,USA,40.0744793,-80.6946662,BOARDING
,Lowell Whiteman School,CO,USA,40.5369695,-106.82545,BOARDING
,Luther Preparatory School,WI,USA,43.1876397,-88.7115184,BOARDING
,Lyman Ward Military Academy,AL,USA,32.8028839,-85.6607222,BOARDING
,MacDuffie School,MA,USA,42.2688903,-72.4740814,BOARDING
,Madeira School,VA,USA,38.9709602,-77.2333274,BOARDING
,Maine School of Science and Mathematics,ME,USA,46.9066729,-67.8301858,BOARDING
,Majestic Ranch Academy,CO,USA,37.3973517,-108.2670949,BOARDING
,Marianapolis Preparatory School,CT,USA,41.9561365,-71.8684512,BOARDING
,Marine Military Academy,TX,USA,26.225168,-97.666461,BOARDING
