id,Roster_Year,Player_Number,First_Name,Last_Name,Year,Position1,Position2,Position3,Height,Weight,Home_Town,State_or_Country,High_School,Alternative_School,College,College_League,Bio_Link
6296,2008,24,Daniel,Chu,Sophomore,Forward,,,5'7,140,Irvine,CA,University,University,Boston University,PATRIOT,https://goterriers.com/roster.aspx?rp_id=3238
6302,2008,6,Paul,King,Freshman,Midfielder,,,5'11,167,Derry,Northern Ireland,St. Columbs College (HS,St. Columbs College (HS,Boston University,PATRIOT,https://goterriers.com/roster.aspx?rp_id=3220
6304,2008,30,Trevor,McManamon,Freshman,Goalkeeper,,,6'0,165,San Jose,CA,Bellarmine College Prep,Bellarmine College Prep,Boston University,PATRIOT,https://goterriers.com/roster.aspx?rp_id=3244
6308,2008,17,Ayo,Olasupo,Freshman,Midfielder,,,6'1,,Austin,TX,St. Stephen's School,St. Stephen's School,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=5017
6310,2008,25,Christopher,Rabey,Freshman,Midfielder,,,5'9,,Houston,TX,The Kinkaid School,The Kinkaid School,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=4989
6315,2008,9,Larry,Silvi,Sophomore,Midfielder,,,5'10,,Langhorne,PA,Germantown Academy,Germantown Academy,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=4883
6317,2008,17,Matt,Tapajcik,Junior,Defender,,,6'1,180,Alexandria,VA,Gonzaga College,Gonzaga College,Naval Academy,PATRIOT,https://navysports.com/roster.aspx?rp_id=5531
6320,2008,1,Christopher,Varga,Junior,Goalkeeper,,,5'8,145,Cranford,NJ,Union Catholic,Union Catholic,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=4876
6321,2008,12,Alex,Weisberger,Junior,Midfielder,,,5'11,170,Larchmont,NY,Mamaroneck,Mamaroneck,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=4878
6322,2008,7,Adam,Welch,Junior,Defender,,,6'0,155,Bethlehem,PA,Moravian Academy,Moravian Academy,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=4877
6327,2008,4,Zachary,Gould,Sophomore,Midfielder,,,5'10,,Roslyn Heights,NY,The Wheatley School,The Wheatley School,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=4880
6328,2008,15,James,Graf,Sophomore,Defender,,,6'2,,Schwenksville,PA,Perkiomen Valley,Perkiomen Valley,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=4881
6329,2008,17,Stephen,Knox,Freshman,Forward,,,5'7,154,Arima,Trinidad,Fatima College (HS,Fatima College (HS,Boston University,PATRIOT,https://goterriers.com/roster.aspx?rp_id=3231
6330,2008,22,Matt,Kosik,Freshman,Defender,,,6'1,,Emmaus,PA,Emmaus,Emmaus,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=4985
6332,2008,27,Peter,Mehlert,Freshman,Midfielder,,,5'9,140,Chevy Chase,MD,Gonzaga College (HS,Gonzaga College (HS,Boston University,PATRIOT,https://goterriers.com/roster.aspx?rp_id=3241
6333,2008,5,Neal,Melchionni,Freshman,Midfielder,,,5'9,,Marmora,NJ,Ocean City,Ocean City,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=4986
6335,2008,0,Jonathan,Nydell,Sophomore,Goalkeeper,,,6'1,175,Islamorada,FL,Saint Stephen's Episcopal,Saint Stephen's Episcopal,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=4882
6338,2008,8,Jesse,Schram,Junior,Midfielder,,,5'11,150,Durham,NH,Oyster River,Oyster River,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=4875
6339,2008,18,Kevin,Strunk,Freshman,Defender,,,6'3,,Downingtown,PA,Bishop Shanahan,Bishop Shanahan,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=4990
6342,2010,2,Chris,Ager,Freshman,Defender,,,6'0,171,Gjettum,Norway,Norwegian College of Elite Sports,Norwegian College of Elite Sports,Boston College,ATLANTIC COAST,https://bceagles.com/roster.aspx?rp_id=2893
6343,2010,3,Steven,Avena,Junior,Midfielder,,,5'8,,Las Vegas,NV,Bishop Gorman,Bishop Gorman,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=6566
6345,2010,6,Ben,Borin,Freshman,Midfielder,,,5'7,,Cheyenne,WY,Cheyenne East High School,Cheyenne East High School,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=6636
6346,2010,27,Alex,Bullington,Freshman,Midfielder,,,5'10,160,Fallston,MD,Calvert Hall College,Calvert Hall College,Loyola University Maryland,PATRIOT,https://loyolagreyhounds.com/roster.aspx?rp_id=2334
6348,2010,14,Austin,Decker,Sophomore,Forward,,,6'0,,Iowa City,IA,Shattuck St. Mary's Prep (Minn.),Shattuck St. Mary's Prep (Minn.),Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=6576
6352,2010,5,Alex,Givens,Freshman,Midfielder,,,5'7,155,Raleigh,NC,North Raleigh Christian Academy,North Raleigh Christian Academy,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=1578
6353,2010,19,Nick,Grube,Freshman,Midfielder,,,5'11,155,Lake Forest,IL,Lake Forest,Lake Forest,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=1582
6357,2010,25,Max,Henry,Freshman,Goalkeeper,,,6'2,170,Mount Ulla,NC,Mooresville,Mooresville,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=1586
6359,2010,12,Jake,Keator,Freshman,Forward,,,6'0,165,Jacksonville,FL,The Bolles School,The Bolles School,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=1579
6362,2010,4,Greg,Macnamara,Junior,Defender,,,5'11,160,Arlington,VA,Gonzaga College,Gonzaga College,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=1566
