id,Roster_Year,Player_Number,First_Name,Last_Name,Year,Position1,Position2,Position3,Height,Weight,Home_Town,State_or_Country,High_School,Alternative_School,College,College_League,Bio_Link
6493,2012,10,Andrew,DiLallo,Senior,Forward,,,6'3,186,Wellington,FL,Wellington,Wellington,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=2697
6494,2012,7,Stephen,Dooley,Junior,Forward,,,5'11,160,Portstewart,Northern Ireland,Loreto College Coleraine,Loreto College Coleraine,Loyola University Maryland,PATRIOT,https://loyolagreyhounds.com/roster.aspx?rp_id=2260
6495,2012,4,Kristian,Garciamendez-Rowold,Sophomore,Defender,,,6'0,180,Fairview,TX,Jesuit College Preparatory School of Dallas,Jesuit College Preparatory School of Dallas,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=2699
6497,2012,26,Jamie,Libby,Junior,Back,,,6'4,195,Romford,England,Havering College,Havering College,Loyola University Maryland,PATRIOT,https://loyolagreyhounds.com/roster.aspx?rp_id=2274
6498,2012,8,Kyle,Lucas,Junior,Midfielder,,,6'0,,Falmouth,ME,Falmouth High School,Falmouth High School,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=4034
6500,2012,4,Michael,Manta,Freshman,Back,,,6'2,,Downingtown,PA,Malvern Prep,Malvern Prep,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=4042
6502,2012,26,Everett,McCord,Freshman,Goalkeeper,,,6'1,,Raleigh,NC,Broughton High School,Broughton High School,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=4049
6505,2012,8,Brian,McGue,Senior,Midfielder,,,6'3,175,Dublin,OH,Dublin Jerome,Dublin Jerome,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=2704
6507,2012,9,James,Meyerkord,Junior,Forward,,,5'10,,Florissant,MO,Chaminade College Prepatory,Chaminade College Prepatory,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=4033
6508,2012,0,Kevin,Motylewski,Sophomore,Goalkeeper,,,6'3,,Mendham,NJ,West Morris Mendham High School,West Morris Mendham High School,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=4037
6509,2012,1,Ciaran,Nugent,Junior,Goalkeeper,,,6'1,,Dedham,MA,Buckingham Browne & Nichols School,Buckingham Browne & Nichols School,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=4032
6513,2012,22,Max,Riehemann,Sophomore,Defender,,,6'0,175,Cincinnati,OH,Sycamore,Sycamore,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=2709
6514,2012,13,Gabe,Rivera,Sophomore,Forward,,,5'10,160,Durham,NC,Riverside,Riverside,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=2710
6515,2012,19,Alec,Rotunda,Freshman,Forward,,,5'11,165,Greensboro,NC,Grimsley,Grimsley,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=2714
6517,2012,7,Brian,Suchoski,Sophomore,Forward,,,5'10,,Bear Creek Township,PA,James M. Coughlin High School,James M. Coughlin High School,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=4039
6518,2012,0,Taylor,Sulmonetti,Senior,Goalkeeper,,,5'9,,Marietta,GA,George Walton,George Walton,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=4027
6519,2012,16,Valeriy,Sviderskiy,Freshman,Forward,,,5'6,140,Richmond,VA,Mills E. Godwin,Mills E. Godwin,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=2715
6520,2013,2,Chris,Ager,Senior,Defender,,,6'1,177,Gjettum,Norway,Norwegian College of Elite Sports,Norwegian College of Elite Sports,Boston College,ATLANTIC COAST,https://bceagles.com/roster.aspx?rp_id=2819
6524,2013,6,Ben,Borin,Senior,Midfielder,,,5'7,,Cheyenne,WY,Cheyenne East High School,Cheyenne East High School,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=6098
6525,2013,17,Ben,Davis,Sophomore,Back,,,5'10,,Princeton,NJ,Princeton High School,Princeton High School,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=6113
6526,2013,13,Ali,Famili,Junior,Back,,,6'0,,Orefield,PA,Parkland High School,Parkland High School,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=7692
6528,2013,28,Tane,Gent,Freshman,Forward,,,5'10,160,Christchurch,New Zealand,St. Andrews College,St. Andrews College,Wake Forest University,ATLANTIC COAST,https://godeacs.com/roster.aspx?rp_id=2416
6529,2013,20,Gianfranco,Giammatteo,Freshman,Defender,,,5'10,,Summit,NJ,St. Benedict's Prep,St. Benedict's Prep,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=7022
6530,2013,5,Alex,Givens,Senior,Midfielder,,,5'7,150,Raleigh,NC,North Raleigh Christian Academy,North Raleigh Christian Academy,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=3201
6531,2013,15,Danny,Gonzalez,Freshman,Midfielder,,,5'11,,Berwyn,PA,Conestoga,Conestoga,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=7023
6533,2013,7,Nick,Grube,Senior,Midfielder,,,5'11,170,Lake Forest,IL,Lake Forest,Lake Forest,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=3202
6535,2013,12,Jake,Keator,Senior,Midfielder,,,6'1,175,Jacksonville,FL,The Bolles School,The Bolles School,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=3204
6541,2013,21,Shane,Macnamara,Sophomore,Midfielder,,,6'0,160,Arlington,VA,Washington-Lee,Washington-Lee,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=3206
6542,2013,2,Ryan,Malden,Senior,Defender,,,6'0,175,Agoura Hills,CA,Loyola,Loyola,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=3207
6545,2013,16,Shane,Mulcahy,Sophomore,Midfielder,,,5'10,,Mendham,NJ,Delbraton School,Delbraton School,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=6112
6548,2013,22,Evin,Nadaner,Senior,Midfielder,,,5'9,165,Bronx,NY,HSMSE at CCNY,HSMSE at CCNY,Boston University,PATRIOT,https://goterriers.com/roster.aspx?rp_id=3096
6549,2013,3,Coleman,O'Neill,Senior,Defender,,,6'2,175,Silver Spring,MD,The Field School,The Field School,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=3208
6550,2013,15,John,Pace,Junior,Defender,,,5'10,180,Raleigh,NC,Broughton,Broughton,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=3209
6551,2013,23,Matt,Pacifici,Sophomore,Goalkeeper,,,6'3,180,Charlotte,NC,Wake Forest,Wake Forest,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=3210
6552,2013,1,Daniel,Peek,Senior,Goalkeeper,,,6'3,195,Burke,VA,Robinson Secondary School,Robinson Secondary School,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=3211
6556,2013,14,Matt,Shreiner,Junior,Midfielder,,,6'0,,Marietta,GA,George Walton High School,George Walton High School,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=6104
6557,2013,9,Ali,Sozeri,Senior,Forward,,,6'1,175,Istanbul,Turkey,Lesley University,Lesley University,Boston University,PATRIOT,https://goterriers.com/roster.aspx?rp_id=3083
6559,2013,4,Brian,Vail,Sophomore,Midfielder,,,6'0,,Laguna Beach,CA,St. Margaret's Episcopal School,St. Margaret's Episcopal School,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=6111
6560,2013,1,Patrick,Wall,Senior,Goalkeeper,,,5'11,160,Sugarland,TX,Strake Jesuit College Prep,Strake Jesuit College Prep,University of Notre Dame,ATLANTIC COAST,https://und.com/roster.aspx?rp_id=4875
6561,2013,11,Kye,West,Sophomore,Midfielder,,,5'11,140,Port of Spain,Trinidad & Tobago,Fatima College,Fatima College,Villanova University,BIG EAST,https://villanova.com/roster.aspx?rp_id=2510
6562,2013,23,Stefan,Woort-Menker,Freshman,Forward,,,6'2,,Rye,NY,Choate Rosemary Hall,Choate Rosemary Hall,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=7026
6563,2013,12,Justin,Worley,Freshman,Defender,,,5'10,,Reading,PA,Muhlenberg High School,Muhlenberg High School,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=7027
6564,2013,5,Ben,Wysocki,Senior,Midfielder,,,5'11,,Lower Makefield,PA,Germantown Academy,Germantown Academy,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=6099
6566,2013,10,Jordan,Barker,Junior,Midfielder,,,5'7,160,Harrogate,England,Loughborough Univ.,Loughborough Univ.,Boston University,PATRIOT,https://goterriers.com/roster.aspx?rp_id=3084
6567,2013,2,Ryan,Bertrando,Sophomore,Midfielder,,,5'6,,Lititz,PA,Warwick High School,Warwick High School,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=6106
6569,2013,20,Drew,Brown,Junior,Defender,,,5'10,160,Charlotte,NC,South Mecklenburg,South Mecklenburg,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=3198
6573,2013,11,Dilan,Casanovas Mack,Sophomore,Forward,,,5'10,,Barcelona,Spain,Loomis-Chaffee School,Loomis-Chaffee School,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=6109
6575,2013,10,Rylan,Collins,Junior,Forward,,,6'1,,Bloomfield,CT,Loomis-Chaffee School,Loomis-Chaffee School,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=6116
6576,2013,5,Nick,Corliss,Senior,Defender,,,6'1,186,Auckland,New Zealand,Macleans College,Macleans College,Boston College,ATLANTIC COAST,https://bceagles.com/roster.aspx?rp_id=2822
6578,2013,7,Stephen,Dooley,Senior,Forward,,,5'11,160,Portstewart,Northern Ireland,Loreto College Coleraine,Loreto College Coleraine,Loyola University Maryland,PATRIOT,https://loyolagreyhounds.com/roster.aspx?rp_id=2235
6579,2013,4,Kristian,Garciamendez-Rowold,Junior,Defender,,,6'0,190,Fairview,TX,Jesuit College Preparatory School of Dallas,Jesuit College Preparatory School of Dallas,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=3200
6581,2013,26,Jacob,Gottwald,Freshman,Goalkeeper,,,6'1,,Schnecksville,PA,Parkland High School,Parkland High School,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=7710
6584,2013,26,Jamie,Libby,Senior,Back,,,6'4,195,Romford,England,Havering College,Havering College,Loyola University Maryland,PATRIOT,https://loyolagreyhounds.com/roster.aspx?rp_id=2251
6585,2013,8,Kyle,Lucas,Senior,Midfielder,,,6'0,,Falmouth,ME,Falmouth High School,Falmouth High School,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=6102
6588,2013,24,Matt,McCombs,Freshman,Forward,,,6'2,,Phoenix,AZ,Barry Goldwater High School,Barry Goldwater High School,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=7024
6589,2013,0,Everett,McCord,Sophomore,Goalkeeper,,,6'1,,Raleigh,NC,Broughton High School,Broughton High School,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=6115
6592,2013,9,James,Meyerkord,Senior,Forward,,,5'10,,Florissant,MO,Chaminade College Prep,Chaminade College Prep,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=6101
6593,2013,0,Kevin,Motylewski,Junior,Goalkeeper,,,6'3,,Mendham,NJ,West Morris Mendham High School,West Morris Mendham High School,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=6103
6594,2013,1,Ciaran,Nugent,Senior,Goalkeeper,,,6'1,,Dedham,MA,Buckingham Browne & Nichols School,Buckingham Browne & Nichols School,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=6100
6595,2013,18,Thomas,O'Brien,Freshman,Defender,,,5'10,150,Broomfield,CO,Broomfield,Broomfield,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=3219
6598,2013,8,Alan,Reiter,Junior,Midfielder,,,6'1,180,Westport,CT,NC State,NC State,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=3213
6599,2013,22,Max,Riehemann,Junior,Defender,,,6'2,180,Cincinnati,OH,Sycamore,Sycamore,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=3214
6600,2013,13,Gabe,Rivera,Junior,Forward,,,5'10,160,Durham,NC,Riverside,Riverside,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=3215
6601,2013,10,Alec,Rotunda,Sophomore,Forward,,,6'0,175,Greensboro,NC,Grimsley,Grimsley,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=3216
6602,2013,2,Frank,Russomano,Freshman,Midfielder,,,5'9,160,Ambler,PA,La Salle College,La Salle College,Villanova University,BIG EAST,https://villanova.com/roster.aspx?rp_id=2505
6603,2013,19,Jess,Smith,Freshman,Midfielder,,,6'2,175,Little Rock,AR,Little Rock Christian Academy,Little Rock Christian Academy,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=3353
6604,2013,7,Brian,Suchoski,Junior,Forward,,,5'10,,Bear Creek Township,PA,James M. Coughlin High School,James M. Coughlin High School,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=6105
6605,2013,16,Valeriy,Sviderskiy,Sophomore,Forward,,,5'7,145,Richmond,VA,Mills E. Godwin,Mills E. Godwin,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=3217
6606,2016,6,Henry,Balf,Junior,Midfielder,,,6'2,180,Beverly,MA,FC Bolts,FC Bolts,Boston College,ATLANTIC COAST,https://bceagles.com/roster.aspx?rp_id=8658
6607,2016,32,Nat,Ballard,Sophomore,Goalkeeper,,,6'3,165,London,England,Barnes Eagles,Barnes Eagles,Boston College,ATLANTIC COAST,https://bceagles.com/roster.aspx?rp_id=8659
6610,2016,14,Abe,Bibas,Sophomore,Defender,,,6'0,175,Sunny Isles Beach,FL,Weston FC,Weston FC,Boston College,ATLANTIC COAST,https://bceagles.com/roster.aspx?rp_id=8661
6611,2016,5,Calum,Bishop,Sophomore,Defender,,,6'1,,Lake Forest,IL,Lake Forest Academy,Lake Forest Academy,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=11615
6613,2016,1,Joe,Bogan,Junior,Goalkeeper,,,6'3,,Germantown,MD,Northwest,Northwest,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=11616
6615,2016,12,Tanner,Carlson,Sophomore,Defender,,,5'6,145,Woodbury,MN,Woodbury,Woodbury,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=4799
6616,2016,13,Charlie,Caswell,Freshman,Midfielder,,,5'10,175,Lakewood,CO,Lakewood,Lakewood,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=4951
6617,2016,13,Nolan,Coulter,Freshman,Defender,,,5'11,,Charleston,SC,Bishop England,Bishop England,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=11633
6619,2016,4,Fintan,Devlin,Freshman,Defender,,,6'1,170,Trim,Ireland,Shelbourne FC,Shelbourne FC,Boston College,ATLANTIC COAST,https://bceagles.com/roster.aspx?rp_id=8678
6620,2016,9999,Wyatt,Dial,Freshman,Midfielder,,,6'1,190,Phoenix,AZ,Brophy College Prep,Brophy College Prep,Air Force Academy,WAC,https://goairforcefalcons.com/roster.aspx?rp_id=3381
6621,2016,9,Simon,Enstrom,Sophomore,Forward,,,6'1,187,Huddinge,Sweden,AIK,AIK,Boston College,ATLANTIC COAST,https://bceagles.com/roster.aspx?rp_id=8663
6622,2016,27,Sawyer,Gaffney,Freshman,Goalkeeper,,,6'4,195,Richmond,VA,Collegiate,Collegiate,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=4958
6623,2016,15,Matthew,Gandier,Sophomore,Midfielder,,,6'2,175,Hastings,MN,Hastings,Hastings,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=4804
6624,2016,11,Tommy,Garcia-Morillo,Sophomore,Midfielder,,,6'0,170,Key Biscayne,FL,Weston FC,Weston FC,Boston College,ATLANTIC COAST,https://bceagles.com/roster.aspx?rp_id=8666
6625,2016,26,Jacob,Gottwald,Senior,Goalkeeper,,,6'1,,Schnecksville,PA,Parkland High School,Parkland High School,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=11621
6626,2016,2,Alex,Greene,Sophomore,Midfielder,,,5'6,,Flower Mound,TX,Flower Mound,Flower Mound,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=11622
6629,2016,18,Callum,Johnson,Freshman,Midfielder,,,5'9,155,New York,NY,New York Red Bulls Academy,New York Red Bulls Academy,Boston College,ATLANTIC COAST,https://bceagles.com/roster.aspx?rp_id=8681
6631,2016,23,Danny,Leszczynski,Freshman,Defender,,,6'2,,Easton,CT,Hopkins School,Hopkins School,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=11636
6634,2016,0,Ian,Marshall,Freshman,Goalkeeper,,,6'0,,Roswell,GA,Centennial,Centennial,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=11637
6636,2016,3,Matt,Morana,Sophomore,Defender,,,5'8,,Shrewsbury,MA,Shrewsbury,Shrewsbury,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=11627
6637,2016,14,Tatsu,Otani,Junior,Midfielder,,,6'0,,San Jose,CA,Lynbrook,Lynbrook,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=11628
6640,2016,19,Coleman,Richards,Sophomore,Midfielder,,,5'10,155,Charleston,SC,Academic Magnet,Academic Magnet,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=4814
6641,2016,4,Seth,Rinkevich,Sophomore,Defender,,,6'3,175,Tampa,FL,HB Plant,HB Plant,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=4815
6642,2016,22,Frank,Russomano,Senior,Midfielder,,,5'9,160,Ambler,PA,La Salle College,La Salle College,Villanova University,BIG EAST,https://villanova.com/roster.aspx?rp_id=2434
6643,2016,1,Cedric,Saladin,Sophomore,Goalkeeper,,,6'1,176,Sissach,Switzerland,FC Basel,FC Basel,Boston College,ATLANTIC COAST,https://bceagles.com/roster.aspx?rp_id=8672
6644,2016,16,Rafael,Salama,Sophomore,Midfielder,,,6'1,175,Madrid,Spain,Alcobendas FC,Alcobendas FC,Boston College,ATLANTIC COAST,https://bceagles.com/roster.aspx?rp_id=8673
6646,2016,0,Will,Smith,Freshman,Goalkeeper,,,6'4,,Devon,PA,Conestoga,Conestoga,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=11639
6647,2016,29,Elliot,Smith Hastie,Freshman,Midfielder,,,5'10,150,Los Angeles,CA,Santa Monica United,Santa Monica United,Boston College,ATLANTIC COAST,https://bceagles.com/roster.aspx?rp_id=8686
6649,2016,5,Len,Zeugner,Junior,Defender,,,6'4,190,Muenster,Germany,Borussia Dortmund,Borussia Dortmund,Boston College,ATLANTIC COAST,https://bceagles.com/roster.aspx?rp_id=8674
6651,2016,30,Jack,Bacon,Freshman,Goalkeeper,,,6'0,165,Lincoln,RI,NEFC,NEFC,Boston College,ATLANTIC COAST,https://bceagles.com/roster.aspx?rp_id=8687
6652,2016,3,Younes,Boudadi,Freshman,Defender,,,5'9,165,Ypres,Belgium,Club Brugge,Club Brugge,Boston College,ATLANTIC COAST,https://bceagles.com/roster.aspx?rp_id=8677
6655,2016,8,Trevor,Davock,Sophomore,Forward,,,5'11,155,Medway,MA,NEFC,NEFC,Boston College,ATLANTIC COAST,https://bceagles.com/roster.aspx?rp_id=8662
6656,2016,5,Felicien,Dumas,Sophomore,Midfielder,,,,169,Tokyo,Japan,United World College of South East Asia,United World College of South East Asia,University of Notre Dame,ATLANTIC COAST,https://und.com/roster.aspx?rp_id=4766
6658,2016,17,Louis,Evans,Freshman,Defender,,,6'1,185,Christchurch,New Zealand,Christchurch,Christchurch,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=4952
6660,2016,9,Mark,Forrest,Sophomore,Forward,,,6'3,,Douglassville,PA,The Hill School,The Hill School,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=11618
6661,2016,28,Adam,French,Freshman,Forward,,,6'1,178,Westborough,MA,NEFC,NEFC,Boston College,ATLANTIC COAST,https://bceagles.com/roster.aspx?rp_id=8685
6662,2016,28,Tane,Gent,Senior,Forward,,,,160,Christchurch,New Zealand,St. Andrews College,St. Andrews College,Wake Forest University,ATLANTIC COAST,https://godeacs.com/roster.aspx?rp_id=2333
6663,2016,10,Gianfranco,Giammatteo,Senior,Defender,,,5'10,,Summit,NJ,St. Benedict's Prep,St. Benedict's Prep,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=11619
6665,2016,8,Danny,Gonzalez,Senior,Midfielder,,,5'11,,Berwyn,PA,Conestoga,Conestoga,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=11620
6666,2016,19,Tomas,Gudmundsson,Junior,Defender,,,6'5,200,Reykjavik,Iceland,Coastal Carolina,Coastal Carolina,Boston College,ATLANTIC COAST,https://bceagles.com/roster.aspx?rp_id=8682
6668,2016,2,Jordan,Hill,Sophomore,Defender,,,6'1,185,Chesapeake,VA,Great Bridge,Great Bridge,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=4805
6671,2016,15,Nick,Jewell,Junior,Midfielder,,,5'11,,Wexford,PA,North Allegheny,North Allegheny,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=11624
6673,2016,18,Drew,Krueger,Sophomore,Midfielder,,,5'11,170,Dublin,OH,Dublin Coffman,Dublin Coffman,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=4808
6674,2016,15,Lasse,Lehmann,Freshman,Midfielder,,,6'1,167,Munich,Germany,Stuggart Kickers,Stuggart Kickers,Boston College,ATLANTIC COAST,https://bceagles.com/roster.aspx?rp_id=8680
6675,2016,23,Malcolm,McCabe,Freshman,Defender,,,5'8,145,Spring,TX,Klein,Klein,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=4955
6677,2016,9,Aidan,Peterson,Sophomore,Midfielder,,,6'0,165,Waxhaw,NC,Cuthbertson,Cuthbertson,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=4811
6678,2016,30,Paul,Steingraber,Sophomore,Goalkeeper,,,6'2,,Harleysville,PA,Souderton Area,Souderton Area,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=11910
6679,2016,22,Jaylen,Thompson,Freshman,Midfielder,,,5'10,145,Virginia Beach,VA,First Colonial,First Colonial,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=4954
6680,2016,6,Doyle,Tuvesson,Junior,Forward,,,5'11,,Kennett Square,PA,Unionville,Unionville,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=11630
6681,2016,12,Justin,Worley,Senior,Defender,,,5'10,,Reading,PA,Muhlenberg High School,Muhlenberg High School,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=11631
6682,2017,30,Jack,Bacon,Sophomore,Goalkeeper,,,6'0,165,Lincoln,RI,NEFC,NEFC,Boston College,ATLANTIC COAST,https://bceagles.com/roster.aspx?rp_id=9576
6683,2017,8,Stevo,Bednarsky,Freshman,Midfielder,,,,,Hackettstown,NJ,Gill Saint Bernard's School,Gill Saint Bernard's School,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=12547
6684,2017,7,Nikita,Bondar,Freshman,Forward,,,5'9,170,Hamburg,Germany,Hamburg U19,Hamburg U19,Boston College,ATLANTIC COAST,https://bceagles.com/roster.aspx?rp_id=9596
6685,2017,3,Younes,Boudadi,Sophomore,Back,,,5'9,165,Ypres,Belgium,Club Brugge,Club Brugge,Boston College,ATLANTIC COAST,https://bceagles.com/roster.aspx?rp_id=9580
6686,2017,13,Hugh,Chatham,Freshman,Forward,,,5'9,155,Huntersville,NC,Hough,Hough,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=5756
6688,2017,33,Antonio,Chavez Borrelli,Freshman,Goalkeeper,,,6'0,175,Valley Village,CA,Santa Monica United,Santa Monica United,Boston College,ATLANTIC COAST,https://bceagles.com/roster.aspx?rp_id=9595
6689,2017,26,John,Dale,Sophomore,Midfielder,,,5'8,155,Seattle,WA,Roosevelt,Roosevelt,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=5660
6691,2017,8,Trevor,Davock,Junior,Forward,,,5'11,155,Medway,MA,NEFC,NEFC,Boston College,ATLANTIC COAST,https://bceagles.com/roster.aspx?rp_id=9581
6692,2017,16,Jamie,DiLuzio,Freshman,Midfielder,,,5'9,140,North Woodmere,NY,Lawrence,Lawrence,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=5757
6693,2017,32,Quinn,Dudek,Freshman,Forward,,,6'0,150,Malvern,PA,Episcopal Academy,Episcopal Academy,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=5758
6694,2017,5,Felicien,Dumas,Junior,Midfielder,,,,169,Tokyo,Japan,United World College of South East Asia,United World College of South East Asia,University of Notre Dame,ATLANTIC COAST,https://und.com/roster.aspx?rp_id=9095
6695,2017,17,Louis,Evans,Sophomore,Defender,,,6'0,185,Christchurch,New Zealand,Christchurch,Christchurch,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=5662
6696,2017,9,Mark,Forrest,Junior,Forward,,,6'3,,Douglassville,PA,The Hill School,The Hill School,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=12532
6697,2017,28,Adam,French,Sophomore,Forward,,,6'1,180,Westborough,MA,NEFC,NEFC,Boston College,ATLANTIC COAST,https://bceagles.com/roster.aspx?rp_id=9601
6698,2017,20,Tomas,Gudmundsson,Senior,Back,,,6'5,200,Reykjavik,Iceland,Coastal Carolina,Coastal Carolina,Boston College,ATLANTIC COAST,https://bceagles.com/roster.aspx?rp_id=9586
6700,2017,2,Jordan,Hill,Junior,Defender,,,6'0,185,Chesapeake,VA,Great Bridge,Great Bridge,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=5665
6702,2017,18,Drew,Krueger,Junior,Midfielder,,,5'11,170,Dublin,OH,Dublin Coffman,Dublin Coffman,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=5667
6703,2017,15,Lasse,Lehmann,Sophomore,Midfielder,,,6'1,167,Munich,Germany,Stuggart Kickers,Stuggart Kickers,Boston College,ATLANTIC COAST,https://bceagles.com/roster.aspx?rp_id=9588
6704,2017,25,Ikem,Mbalewe,Freshman,Forward,,,,,Montclair,NJ,Montclair,Montclair,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=12550
6705,2017,23,Malcolm,McCabe,Sophomore,Defender,,,5'7,155,Spring,TX,Klein,Klein,Davidson College,A-10,https://davidsonwildcats.com/roster.aspx?rp_id=5670
6706,2017,7,Jack,Miskel,Senior,Forward,,,5'10,,Ft. Lauderdale,FL,Saint Thomas Aquinas,Saint Thomas Aquinas,Lehigh University,PATRIOT,https://lehighsports.com/roster.aspx?rp_id=12538
