ID,ADDRESS1,INSTITUTION,ADDRESS2,CITY,PROVINCE,ZIP,COUNTRY,LATITUDE,LONGITUDE
700769,172 BURKE RD,SACRE COEUR,GLEN IRIS 3146,VICTORIA,,,AUSTRALIA,-37.8615658,145.0528186
700425,RANFURLIE CRESCENT,KOROWA ANGLICAN GIRLS SCHOOL,GLEN IRIS,MELBOURNE,VIC,VIC 3146,AUSTRALIA,-37.8609969,145.0540044
700000,38 HUNTINGTOWER RD,LAURISTON GIRLS SCHOOL,ARMADALE,VICTORIA,VIC,VIC 3143,AUSTRALIA,-37.8521837,145.0249867
700398,577 ST KILDA ROAD,WESLEY COLLEGE MELBOURNE,,MELBOURNE,VIC,VIC 3004,AUSTRALIA,-37.8490504,144.9822987
700111,141 BURWOOD HIGHWAY,PRESBYTERIAN LADIES COL MELBRN,BURWOOD   VICTORIA,BURWOOD,VIC,VIC 3125,AUSTRALIA,-37.8489456,145.1071253
700011,350-370 KINGS WAY,MAC ROBERTSON GIRLS HIGH SCHL,VICTORIA,MELBOURNE,VIC,VIC 3004,AUSTRALIA,-37.8368178,144.9718377
700765,31 MOONGA ROAD,ST KEVINS COLLEGE,,TOORAK,VIC,VIC 3142,AUSTRALIA,-37.8360022,145.0250305
700168,FORREST HILL,MELBOURNE HIGH SCHOOL,SOUTH YARRA,VICTORIA 3141,,,AUSTRALIA,-37.8353907,144.9957014
700320,1 MORRISON ST,SCOTCH COLLEGE - MELBOURNE,,HAWTHORN,VIC,VIC 3122,AUSTRALIA,-37.8342314,145.0291624
700399,63 DOMAIN RD,MELBOURNE GRAMMAR SCHOOL,MELBOURNE,VICTORIA 3004,,,AUSTRALIA,-37.8331618,144.9741253
700560,86 ANDERSON ST,MELBOURNE GIRLS GRAMMAR,,SOUTH YARRA,VIC,VIC 3141,AUSTRALIA,-37.8309032,144.9850293
700394,43 ELIZABETH STREET,STOTTS COLLEGE,,MELBOURNE,VIC,VIC 3000,AUSTRALIA,-37.8170424,144.9642466
700130,55 MONT ALBERT RD,CAMBERWELL GRAMMAR SCHOOL,,CANTERBURY,VIC,VIC 3126,AUSTRALIA,-37.8163683,145.0665671
700350,349 BARKERS RD,CAREY BAPTIST GRAMMAR SCHOOL,,KEW,VIC,VIC 3101,AUSTRALIA,-37.8141033,145.0481758
700094,207 BARKERS ROAD,METHODIST LADIES COLLEGE,,KEW,VIC,VIC 3101,AUSTRALIA,-37.8139569,145.0383994
700354,135 BARKERS RD,XAVIER COLLEGE,,KEW,VIC,VIC 3121,AUSTRALIA,-37.8124081,145.0316451
700643,ST MARYS CAMPUS,SOPHIA MUNDI STEINER SCHOOL,1 ST HELIERS STREET,ABBOTSFORD,VIC,VIC 3067,AUSTRALIA,-37.8031421,145.0048157
700142,PO BOX 371,NORWOOD SECONDARY COLLEGE,RINGWOOD 3134,VICTORIA,,,AUSTRALIA,-37.7991053,145.2383335
700622,1393 BURKE RD EAST,KEW HIGH SCHOOL,,EAST KEW,VIC,VIC 3102,AUSTRALIA,-37.795756,145.063284
700015,41 THE RIDGEWAY IVANHOE,IVANHOE GRAMMAR SCHOOL,,MELBOURNE,VIC,VIC 3079,AUSTRALIA,-37.7744232,145.0447572
700562,40 WHITE ST,KILMORE INTERNATIONAL SCHOOL,KILMORE,VICTORIA,VIC,VIC 3764,AUSTRALIA,-37.3007763,144.9532001
700140,89 MAIN ROAD,OLIVET CHRISTIAN COLLEGE,,CAMPBELLS CREEK,VIC,VIC 3450,AUSTRALIA,-37.08847,144.204927
700490,PO BOX 757,GOULBURN VALLEY GRAMMAR SCHOOL,,SHEPPARTON,VIC,VIC 3630,AUSTRALIA,-36.3267932,145.4141265
700188,64 ADELAIDE RD,ENCOUNTER LUTHERAN COLLEGE,,VICTOR HARBOR,S A,S A 5211,AUSTRALIA,-35.5278448,138.6365121
700355,JERRABOMBERRA AVE,NARRABUNDAH COLLEGE,,KINGSTON,ACT,ACT 2604,AUSTRALIA,-35.3371351,149.1475934
700818,MONARO CRESCENT,CANBERRA GRAMMAR SCHOOL,,REDHILL,ACT,ACT 2603,AUSTRALIA,-35.3310422,149.1256627
700018,1 COLLEGE ST,RADFORD COLLEGE,,BRUCE,ACT,ACT 2617,AUSTRALIA,-35.2442801,149.0884077
700105,2 EMU BANK,UC SENIOR SEC LAKE GINNINDERRA,,BELCONNEN,ACT,ACT 2617,AUSTRALIA,-35.2386423,149.073685
700044,PO BOX 48 MORPHAT VALE,WOODCROFT COLLEGE,,ADELAIDE,,,AUSTRALIA,-35.113379,138.5436085
700043,MARION CAMPUS,SUNRISE CHRISTIAN SCHOOL,286 STURT RD,ADELAIDE,S A,S A 5043,AUSTRALIA,-35.0168294,138.557052
700401,ALISON AVENUE,WESTMINSTER SCHOOL,,MARION,S A,S A 5043,AUSTRALIA,-35.002693,138.552585
700204,CARRUTH RD,SCOTCH COLLEGE,,TORRENS PARK,,,AUSTRALIA,-34.9822645,138.6167122
700002,LOCKED BAG 5,AUSTRALIAN CHRSTN CO-SOUTHLAND,,ALBANY,W A,W A 6330,AUSTRALIA,-34.9754734,117.8780275
700096,3436 BRAIDWOOD RD LAKE BATHURS,HOLY CROSS MINOR SEMINARY,PO BOX 417,GOULBURN,NSW,NSW 2580,AUSTRALIA,-34.9612326,149.6664538
700101,89 GREENHILL RD,ANNESLEY COLLEGE,,WAYVILLE,,,AUSTRALIA,-34.9423931,138.5972779
700331,18 HOLDEN STREET,PEMBROKE SCHOOL,,KENSINGTON PARK,S A,S A 5068,AUSTRALIA,-34.9215069,138.6501817
700644,HACKNEY RD,SAINT PETERS COLLEGE ADELAIDE,SAINT PETERS,ADELAIDE,S A,S A 5069,AUSTRALIA,-34.9137112,138.6164387
700623,PO BOX 131,TRINITY COLLEGE GAWLER,,GAWLER,S A,S A 5118,AUSTRALIA,-34.6328126,138.7344662
700004,120 CHURCH ST,ALBION PARK HIGH SCHOOL,,ALBION PARK,NSW,NSW 2527,AUSTRALIA,-34.576045,150.772895
700145,POST OFFICE BOX 68B,SHERWOOD HILLS CHRISTIAN SCH,,BRADBURY,NSW,NSW 2560,AUSTRALIA,-34.083619,150.814149
700328,PO BOX 332,SOUTHERN CROSS BAPT CHURCH SCH,,ENGADINE,NSW,NSW 2233,AUSTRALIA,-34.0603281,151.0061111
700521,THUNDERBOLT DR,ROBERT TOWNSON HIGH SCHOOL,,RABY NSW,,,AUSTRALIA,-34.0158895,150.8174327
700660,758 ANZAC PARADE,LYCEE CONDORCET INT FRENCH SCH,,MAROVBRA,NSW,NSW 2035,AUSTRALIA,-33.935331,151.2386828
700013,1 QUEENS PARK ROAD,MORIAH COLLEGE,,QUEENS PARK,NSW,NSW 2076,AUSTRALIA,-33.8987797,151.2441717
700409,200 STANMORE RD,NEWINGTON COLLEGE,NEW SOUTH WALES,STANMORE,NSW,NSW 2048,AUSTRALIA,-33.8980016,151.1631472
700055,4-8 KELLY ST ULTIMO,INTERNATIONAL GRAMMAR SCHOOL,,SYDNEY,NSW,NSW 2138,AUSTRALIA,-33.8814864,151.1954142
700249,451 PITT STREET STE 702,SYDNEY JACARANDA COLLEGE,,SYDNEY,NSW,NSW 2000,AUSTRALIA,-33.8796248,151.2067721
700240,188 NEW SOUTH HEAD RD,ASCHAM SCHOOL,,EDGECLIFF,NSW,NSW 2027,AUSTRALIA,-33.8771454,151.2362006
