first_name,last_name,home_town,state_or_country,high_school,alternative_school,college,college_league,Public/Private/International,starter_count,accolade_count,latitude,longitude,roster_year,year,player_number,position,height,weight,bio_link
Tim,Schmoll,Coppet,Switzerland,International School of Geneva,,Harvard University,IVY,INTERNATIONAL,3,1,46.1987965,6.1723878,"{2015,2013,2014,2011,2012}","{Senior,Junior,Junior,Freshman,Sophomore}","{19,19,19,19,19}","{Midfielder,Midfielder,Midfielder,Midfielder,Midfielder}","{6'6,6'6,6'6,6'6,6'6}","{207,207,207,207,207}","{https://www.gocrimson.com/sports/msoc/2015-16/bios/schmoll_tim_cjc2,https://www.gocrimson.com/sports/msoc/2013-14/bios/schmoll_tim_a1il,https://www.gocrimson.com/sports/msoc/2014-15/bios/schmoll_tim_h91j,https://www.gocrimson.com/sports/msoc/2011-12/bios/tim_schmoll,https://www.gocrimson.com/sports/msoc/2012-13/Bios/schmoll_tim_n9px}"
Tim,Sedwitz,San Diego,CA,La Jolla Country Day School,,Princeton University,IVY,PRIVATE,3,0,32.87886,-117.216581,"{2009,2008,2010}","{Junior,Sophomore,Senior}","{13,12,13}","{Defender,Defender,Defender}","{6'1,6'1,6'1}","{170,170,170}","{https://goprincetontigers.com/roster.aspx?rp_id=9542,https://goprincetontigers.com/roster.aspx?rp_id=9495,https://goprincetontigers.com/roster.aspx?rp_id=9573}"
Tim,Whalen,Amston,CT,RHAM High School,,Brown University,IVY,PUBLIC,4,0,41.664081,-72.365407,"{2012,2014,2015,2013}","{Freshman,Junior,Senior,Sophomore}","{29,29,29,29}","{Defender,Defender,Defender,Defender}","{6'3,6'3,6'3,6'3}","{185,185,185,185}","{https://brownbears.com/roster.aspx?rp_id=3387,https://brownbears.com/roster.aspx?rp_id=3440,https://brownbears.com/roster.aspx?rp_id=3468,https://brownbears.com/roster.aspx?rp_id=3413}"
Tobin,Shanks,Scottsdale,AZ,Brophy College Preparatory,,SMU,AMERICAN ATHLETIC,PRIVATE,0,0,33.50469,-112.071421,{2018},{Freshman},{26},{Midfielder},{6'2},{170},{https://smumustangs.com/roster.aspx?rp_id=9466}
Todd,Forrester,Williston,VT,Champlain Valley Union High School,,Lafayette College,PATRIOT,PUBLIC,3,0,44.344715,-73.109922,"{2015,2012,2013,2014}","{Senior,Freshman,Sophomore,Junior}","{20,26,26,20}","{Midfielder,Forward,Midfielder,Midfielder}","{5'10,5'10,5'10,5'10}","{168,155,159,168}","{https://www.goleopards.com/roster.aspx?rp_id=3199,https://www.goleopards.com/roster.aspx?rp_id=3288,https://www.goleopards.com/roster.aspx?rp_id=3259,https://www.goleopards.com/roster.aspx?rp_id=3225}"
Tommy,Griffin,Basking Ridge,NJ,Delbarton School,,Cornell University,IVY,PRIVATE,0,0,40.78836,-74.531258,"{2016,2015,2014,2017}","{Junior,Sophomore,Freshman,Senior}","{14,14,14,14}","{Midfielder,Midfielder,Midfielder,Midfielder}","{5'10,5'10,5'10,5'10}","{155,155,155,155}","{https://cornellbigred.com/roster.aspx?rp_id=42613&path=msoccer,https://cornellbigred.com/roster.aspx?rp_id=41371&path=msoccer,https://cornellbigred.com/roster.aspx?rp_id=39833&path=msoccer,https://cornellbigred.com/roster.aspx?rp_id=43856&path=msoccer}"
Tommy,Hart,Tulsa,OK,Holland Hall,,Duke University,ATLANTIC COAST,PRIVATE,2,0,36.044062,-95.91465,"{2012,2013}","{Sophomore,Junior}","{22,22}","{Midfielder,Midfielder}","{6'2,6'2}","{180,180}","{http://www.goduke.com/ViewArticle.dbml?ATCLID=205564551&DB_OEM_ID=4200&Q_SEASON=2012,http://www.goduke.com/ViewArticle.dbml?ATCLID=205564551&DB_OEM_ID=4200&Q_SEASON=2013}"
Tommy,Jaeger,Centennial,CO,Cherry Creek High School,,Army West Point,PATRIOT,PUBLIC,5,0,39.629938,-104.881601,"{2012,2011,2014,2013,2015}","{Sophomore,Freshman,Senior,Junior,Senior}","{3,8,3,3,3}","{Defender,Defender,Defender,Defender,Defender}","{5'10,5'10,5'10,5'10,5'10}","{160,156,160,160,165}","{https://goarmywestpoint.com/roster.aspx?rp_id=2913&path=msoc,https://goarmywestpoint.com/roster.aspx?rp_id=2945&path=msoc,https://goarmywestpoint.com/roster.aspx?rp_id=2863&path=msoc,https://goarmywestpoint.com/roster.aspx?rp_id=2887&path=msoc,https://goarmywestpoint.com/roster.aspx?rp_id=7324&path=msoc}"
Tommy,Kay,Ocala,FL,Forest High School,,Furman University,SOUTHERN,PUBLIC,0,0,29.14362,-82.066682,{2018},{Freshman},{27},{Defender},{6'6},{202},{http://www.furmanpaladins.com/sports/m-soccer/2018-19/bios/fisher_max_oo32}
Tommy,Nealon,Dallas,TX,Cistercian Preparatory School,,Villanova University,BIG EAST,PRIVATE,1,0,32.855233,-96.92196,"{2017,2018}","{Freshman,Sophomore}","{2,2}","{Defender,Defender}","{5'10,5'10}","{155,155}","{https://villanova.com/roster.aspx?rp_id=2405,https://villanova.com/roster.aspx?rp_id=7215}"
Tommy,Ryan,Ross,CA,The Branson School,,Stanford University,PAC-12,PRIVATE,0,0,37.96605,-122.565041,{2011},{Senior},{8},{Defender},{6'1},{180},{https://gostanford.com/roster.aspx?rp_id=6418}
Trevor,Alexander,Meriden,CT,Francis T. Maloney High School,,Syracuse University,ATLANTIC COAST,PUBLIC,3,0,41.531463,-72.773203,"{2013,2011,2012,2014}","{Sophomore,Freshman,Freshman,Junior}","{26,26,26,26}","{Defender,Midfielder,Defender,Defender}","{6'0,6'0,6'0,6'0}","{165,165,165,165}","{https://cuse.com/roster.aspx?rp_id=10264,https://cuse.com/roster.aspx?rp_id=8501,https://cuse.com/roster.aspx?rp_id=9209,https://cuse.com/roster.aspx?rp_id=10900}"
Trevor,Wade,Bel Air,MD,John Carroll School,,Air Force Academy,WAC,PRIVATE,0,0,39.53882,-76.333099,"{2011,2010,2012}","{Junior,Sophomore,Senior}","{16,16,16}","{Defender,Defender,Defender}","{6'2,6'2,6'2}","{185,188,185}","{https://goairforcefalcons.com/roster.aspx?rp_id=3524,https://goairforcefalcons.com/roster.aspx?rp_id=3549,https://goairforcefalcons.com/roster.aspx?rp_id=3500}"
Ty,Seager,West Chicago,IL,Wheaton Academy,,Northwestern University,BIG TEN,PRIVATE,3,0,41.901549,-88.186257,"{2018,2016,2017}","{Junior,Freshman,Sophomore}","{20,20,20}","{Forward,Forward,Forward}","{5'11,5'11,5'11}","{165,165,165}","{https://nusports.com/roster.aspx?rp_id=8111&path=msoc,https://nusports.com/roster.aspx?rp_id=4775&path=msoc,https://nusports.com/roster.aspx?rp_id=5429&path=msoc}"
Tyler,Bell,Mendham,NJ,Delbarton School,,College of the Holy Cross,PATRIOT,PRIVATE,4,0,40.78836,-74.531258,"{2016,2017,2018,2015}","{Sophomore,Junior,Senior,Freshman}","{21,21,21,21}","{Forward,Forward,Forward,Forward}","{5'10,5'10,5'10,5'10}","{152,149,149,150}","{https://goholycross.com/ViewArticle.dbml?ATCLID=210215676&DB_OEM_ID=33100&Q_SEASON=2016,https://goholycross.com/ViewArticle.dbml?ATCLID=210215676&DB_OEM_ID=33100&Q_SEASON=2017,https://goholycross.com/ViewArticle.dbml?ATCLID=210215676&DB_OEM_ID=33100&Q_SEASON=2018,https://goholycross.com/ViewArticle.dbml?ATCLID=210215676&DB_OEM_ID=33100&Q_SEASON=2015}"
Tyler,Bristol,Clinton,CT,The Morgan School,,Naval Academy,PATRIOT,PUBLIC,2,0,41.30064,-72.531241,"{2009,2008}","{Senior,Junior}","{1,0}","{Goalkeeper,Goalkeeper}","{5'11,5'11}","{190,190}","{https://navysports.com/roster.aspx?rp_id=5479,https://navysports.com/roster.aspx?rp_id=5506}"
Tyler,Conklin,Scottsdale,AZ,Desert Mountain High School,,Stanford University,PAC-12,PUBLIC,0,1,33.588809,-111.808928,"{2013,2011,2012}","{Senior,Sophomore,Junior}","{25,25,25}","{Defender,Defender,Defender}","{6'2,6'2,6'2}","{175,175,175}","{https://gostanford.com/roster.aspx?rp_id=6728,https://gostanford.com/roster.aspx?rp_id=6353,https://gostanford.com/roster.aspx?rp_id=6595}"
Tyler,Detorie,Canton,CT,Canton High School,,Yale University,IVY,PUBLIC,4,0,41.826492,-72.916763,"{2014,2015,2012,2013}","{Junior,Senior,Freshman,Sophomore}","{3,3,23,23}","{Defender,Defender,Defender,Defender}","{5'11,5'11,5'11,5'11}","{160,160,160,160}","{http://www.yalebulldogs.com/sports/m-soccer/2014-15/bios/albrecht_henry_pjjd,http://www.yalebulldogs.com/sports/m-soccer/2015-16/bios/albrecht_henry_dzah,http://www.yalebulldogs.com/sports/m-soccer/2012-13/bios/alers_nick_o7i0,http://www.yalebulldogs.com/sports/m-soccer/2013-14/bios/albrecht_henry_x63h}"
Tyler,Evans,San Diego,CA,The Bishop's School,,Harvard University,IVY,PRIVATE,2,0,32.840821,-117.278374,"{2012,2013,2014,2011}","{Sophomore,Junior,Senior,Freshman}","{13,3,3,24}","{Defender,Defender,Defender,Defender}","{5'11,5'11,5'11,5'11}","{167,167,167,167}","{https://www.gocrimson.com/sports/msoc/2012-13/Bios/evans_tyler_kvvl,https://www.gocrimson.com/sports/msoc/2013-14/bios/evans_tyler_wxvd,https://www.gocrimson.com/sports/msoc/2014-15/bios/evans_tyler_1fgy,https://www.gocrimson.com/sports/msoc/2011-12/bios/tyler_evans}"
Tyler,Regan,Philadelphia,PA,Germantown Academy,,Cornell University,IVY,PRIVATE,1,1,40.13649,-75.214731,"{2012,2011,2010}","{Senior,Junior,Sophomore}","{22,22,30}","{Forward,Forward,Forward}","{6'0,6'0,6'0}","{160,160,160}","{https://cornellbigred.com/roster.aspx?rp_id=30052&path=msoccer,https://cornellbigred.com/roster.aspx?rp_id=22290&path=msoccer,https://cornellbigred.com/roster.aspx?rp_id=13871&path=msoccer}"
Viggo,Sjoberg,Varmdo,Sweden,Nacka Gymnasium,,American University,PATRIOT,INTERNATIONAL,1,0,59.3105065,18.1517313,{2018},{Freshman},{16},{Midfielder},{6'0},{165},{http://www.aueagles.com/sports/m-soccer/2018-19/bios/mino_john_j69w}
Vince,Manzo,Washington,MI,De La Salle Collegiate High School,,Villanova University,BIG EAST,PRIVATE,0,0,42.51545,-82.975691,{2017},{Freshman},{18},{Forward},{5'11},{185},{https://villanova.com/roster.aspx?rp_id=2403}
Vincent,Savarese,Baltimore,MD,Archbishop Curley High School,,Loyola University Maryland,PATRIOT,PRIVATE,0,0,39.31275,-76.563071,{2007},{Sophomore},{25},{Defender},{5'8},{160},{https://loyolagreyhounds.com/roster.aspx?rp_id=2386}
Voltaire,Escalona,Blue Bell,PA,Germantown Academy,,Brown University,IVY,PRIVATE,3,0,40.13649,-75.214731,"{2011,2010,2013,2012}","{Sophomore,Freshman,Senior,Junior}","{22,22,8,8}","{Forward,Forward,Forward,Forward}","{6'0,6'0,5'11,5'11}","{180,180,170,170}","{https://brownbears.com/roster.aspx?rp_id=3340,https://brownbears.com/roster.aspx?rp_id=3313,https://brownbears.com/roster.aspx?rp_id=3394,https://brownbears.com/roster.aspx?rp_id=3369}"
Wade,Clement,Pacific Palisades,CA,Harvard-Westlake,,Duke University,ATLANTIC COAST,PRIVATE,1,0,34.08891,-118.433891,"{2015,2013,2014,2012}","{Senior,Sophomore,Junior,Freshman}","{0,0,0,30}","{Goalkeeper,Goalkeeper,Goalkeeper,Goalkeeper}","{6'3,6'3,6'3,6'3}","{200,200,200,200}","{http://www.goduke.com/ViewArticle.dbml?ATCLID=205504464&DB_OEM_ID=4200&Q_SEASON=2015,http://www.goduke.com/ViewArticle.dbml?ATCLID=205504464&DB_OEM_ID=4200&Q_SEASON=2013,http://www.goduke.com/ViewArticle.dbml?ATCLID=205504464&DB_OEM_ID=4200&Q_SEASON=2014,http://www.goduke.com/ViewArticle.dbml?ATCLID=205504464&DB_OEM_ID=4200&Q_SEASON=2012}"
Walker,Zimmerman,Lawrenceville,GA,Brookwood High School,,Furman University,SOUTHERN,PUBLIC,2,2,33.883679,-84.039986,"{2011,2012}","{Freshman,Sophomore}","{23,23}","{Defender,Defender}","{6'3,6'3}","{185,185}","{http://www.furmanpaladins.com/sports/m-soccer/2011-12/bios/sanchez_dennis_1h5y,http://www.furmanpaladins.com/sports/m-soccer/2012-13/bios/ryan_doug_o9kc}"
Wayne,Maminski,Philadelphia,PA,Father Judge High School,,Lafayette College,PATRIOT,PRIVATE,4,0,40.04896,-75.024111,"{2011,2009,2008,2010}","{Senior,Sophomore,Freshman,Junior}","{7,7,13,7}","{Forward,Forward,Forward,Forward}","{5'10,5'10,5'10,5'10}","{155,155,155,155}","{https://www.goleopards.com/roster.aspx?rp_id=3297,https://www.goleopards.com/roster.aspx?rp_id=3360,https://www.goleopards.com/roster.aspx?rp_id=3386,https://www.goleopards.com/roster.aspx?rp_id=3333}"
Wes,Maki,Naples,FL,IMG Academy,,University of Pennsylvania,IVY,PRIVATE,2,0,27.441149,-82.60818,"{2018,2017}","{Sophomore,Freshman}","{11,11}","{Midfielder,Forward}","{5'11,5'11}","{NULL,150}","{https://pennathletics.com/roster.aspx?rp_id=11272,https://pennathletics.com/roster.aspx?rp_id=2909}"
Wiley,Sinkus,Gainesville,FL,Eastside High School,,Wofford College,SOUTHERN,PUBLIC,2,0,29.640149,-82.26839,"{2008,2009,2010,2011}","{Freshman,Sophomore,Sophomore,Senior}","{27,27,2,2}","{Defender,Defender,Midfielder,Midfielder}","{6'0,6'1,6'1,6'1}","{155,175,180,180}","{https://woffordterriers.com/roster.aspx?rp_id=1366,https://woffordterriers.com/roster.aspx?rp_id=1735,https://woffordterriers.com/roster.aspx?rp_id=2137,https://woffordterriers.com/roster.aspx?rp_id=2577}"
Will,Carlson,Harrison,NY,Rye Country Day School,,Georgetown University,BIG EAST,PRIVATE,0,0,40.988295,-73.680712,{2015},{Freshman},{0},{Goalkeeper},{NULL},{170},{http://georgetown.sidearmsports.com/roster.aspx?rp_id=4251}
Will,Chisholm,Atherton,CA,Menlo School,,Dartmouth College,IVY,PRIVATE,2,0,37.45494,-122.192391,"{2016,2018,2017}","{Freshman,Junior,Sophomore}","{19,19,19}","{Forward,Forward,Forward}","{6'1,6'1,6'1}","{180,180,180}","{https://dartmouthsports.com/roster.aspx?rp_id=10872,https://dartmouthsports.com/roster.aspx?rp_id=15758,https://dartmouthsports.com/roster.aspx?rp_id=11216}"
Will,Emerson,Nashville,TN,Montgomery Bell Academy,,Yale University,IVY,PRIVATE,3,0,36.128011,-86.837646,"{2016,2018,2017}","{Freshman,Junior,Sophomore}","{14,14,14}","{Defender,Defender,Defender}","{6'3,6'3,6'3}","{175,175,175}","{http://www.yalebulldogs.com/sports/m-soccer/2016-17/bios/schipper_kees_gk12,http://www.yalebulldogs.com/sports/m-soccer/2018-19/bios/schipper_kees_3gr4,http://www.yalebulldogs.com/sports/m-soccer/2017-18/bios/schipper_kees_6r0g}"
Will,Giannakouros,Manalapan,NJ,Colts Neck High School,,American University,PATRIOT,PUBLIC,1,0,40.276427,-74.20934,{2018},{Freshman},{20},{Defender},{5'6},{150},{http://www.aueagles.com/sports/m-soccer/2018-19/bios/mino_john_j69w}
Will,Lentz,Carmel,IN,Carmel High School,,Princeton University,IVY,PUBLIC,4,0,39.979671,-86.119945,"{2018,2017,2015,2016}","{Senior,Junior,Freshman,Sophomore}","{24,24,24,24}","{Forward,Forward,Forward,Forward}","{6'0,6'0,6'0,6'0}","{185,190,175,190}","{https://goprincetontigers.com/roster.aspx?rp_id=14761,https://goprincetontigers.com/roster.aspx?rp_id=11672,https://goprincetontigers.com/roster.aspx?rp_id=9813,https://goprincetontigers.com/roster.aspx?rp_id=10435}"
Will,O'Brien,Charlotte,NC,Charlotte Latin School,,Wofford College,SOUTHERN,PRIVATE,0,0,35.079179,-80.773937,{2010},{Freshman},{28},{Midfielder},{6'0},{175},{https://woffordterriers.com/roster.aspx?rp_id=2146}
Will,Ogden,Armonk,NY,Byram Hills High School,,Cornell University,IVY,PUBLIC,1,0,41.134597,-73.689816,"{2011,2010}","{Senior,Junior}","{9,26}","{Forward,Forward}","{6'1,6'1}","{180,180}","{https://cornellbigred.com/roster.aspx?rp_id=22285&path=msoccer,https://cornellbigred.com/roster.aspx?rp_id=13882&path=msoccer}"
Will,Ogden,Armonk,NY,Byram Hills High School,,Villanova University,BIG EAST,PUBLIC,2,0,41.134597,-73.689816,"{2009,2008}","{Sophomore,Freshman}","{9,4}","{Forward,Forward}","{NULL,NULL}","{175,175}","{https://villanova.com/roster.aspx?rp_id=2605,https://villanova.com/roster.aspx?rp_id=2634}"
Will,Stamatis,Mountainside,NJ,The Pingry School,,Columbia University,IVY,PRIVATE,2,2,40.620129,-74.567594,"{2010,2013,2009,2011}","{Sophomore,Senior,Freshman,Junior}","{17,17,17,17}","{Midfielder,Forward,Midfielder,Forward}","{5'11,5'11,5'11,5'11}","{170,170,170,170}","{https://gocolumbialions.com/roster.aspx?rp_id=5074,https://gocolumbialions.com/roster.aspx?rp_id=6807,https://gocolumbialions.com/roster.aspx?rp_id=4184,https://gocolumbialions.com/roster.aspx?rp_id=5683}"
Will,Stroud,Chester,NJ,Delbarton School,,Colgate University,PATRIOT,PRIVATE,1,0,40.78836,-74.531258,{2018},{Freshman},{2},{Defender},{5'9},{155},{https://gocolgateraiders.com/roster.aspx?rp_id=9368}
Will,Walsh,Morristown,NJ,Delbarton School,,University of Notre Dame,ATLANTIC COAST,PRIVATE,3,0,40.78836,-74.531258,"{2009,2010,2008,2012,2011}","{Sophomore,Junior,Freshman,Senior,Senior}","{0,13,24,13,13}","{Goalkeeper,Goalkeeper,Goalkeeper,Goalkeeper,Goalkeeper}","{6'3,6'3,6'3,6'4,6'3}","{190,205,190,205,190}","{https://und.com/roster.aspx?rp_id=4996,https://und.com/roster.aspx?rp_id=4965,https://und.com/roster.aspx?rp_id=5024,https://und.com/roster.aspx?rp_id=4906,https://und.com/roster.aspx?rp_id=4936}"
William,Roberts,Williamsburg,VA,Hampton Roads Academy,,Yale University,IVY,PRIVATE,0,0,37.10486,-76.481154,{2015},{Freshman},{30},{Goalkeeper},{6'2},{190},{http://www.yalebulldogs.com/sports/m-soccer/2015-16/bios/albrecht_henry_dzah}
William,Van Zandt,Los Angeles,CA,Campbell Hall School,,Brown University,IVY,PRIVATE,3,0,34.15331,-118.397911,"{2016,2017,2015}","{Sophomore,Junior,Freshman}","{17,17,17}","{Defender,Defender,Defender}","{5'10,5'10,5'10}","{155,155,155}","{https://brownbears.com/roster.aspx?rp_id=3495,https://brownbears.com/roster.aspx?rp_id=3522,https://brownbears.com/roster.aspx?rp_id=3466}"
Wilson,Fisher,Birmingham,AL,Mountain Brook High School,,Duke University,ATLANTIC COAST,PUBLIC,3,0,33.490855,-86.71247,"{2012,2011,2015,2013,2014}","{Sophomore,Freshman,Graduate,Junior,Senior}","{0,0,1,30,1}","{Goalkeeper,Goalkeeper,Goalkeeper,Goalkeeper,Goalkeeper}","{6'2,6'1,6'2,6'2,6'2}","{180,178,180,180,180}","{http://www.goduke.com/ViewArticle.dbml?ATCLID=205237040&DB_OEM_ID=4200&Q_SEASON=2012,http://www.goduke.com/ViewArticle.dbml?ATCLID=205237040&DB_OEM_ID=4200&Q_SEASON=2011,http://www.goduke.com/ViewArticle.dbml?ATCLID=205237040&DB_OEM_ID=4200&Q_SEASON=2015,http://www.goduke.com/ViewArticle.dbml?ATCLID=205237040&DB_OEM_ID=4200&Q_SEASON=2013,http://www.goduke.com/ViewArticle.dbml?ATCLID=205237040&DB_OEM_ID=4200&Q_SEASON=2014}"
Yakov,Rubinchik,Lawrenceville,GA,Brookwood High School,,Wofford College,SOUTHERN,PUBLIC,2,0,33.883679,-84.039986,"{2009,2008}","{Senior,Junior}","{10,10}","{Midfielder,Midfielder}","{5'8,5'8}","{145,145}","{https://woffordterriers.com/roster.aspx?rp_id=1733,https://woffordterriers.com/roster.aspx?rp_id=1331}"
Young,Perry,Hendersonville,NC,Christ School,,Wofford College,SOUTHERN,PRIVATE,1,0,35.465246,-82.487702,"{2016,2017}","{Freshman,Freshman}","{24,24}","{Midfielder,Defender}","{6'2,6'2}","{175,175}","{https://woffordterriers.com/roster.aspx?rp_id=4688,https://woffordterriers.com/roster.aspx?rp_id=5186}"
