id,Roster_Year,First_Name,Last_Name,Accolade,College
1342,2012,Forrest,Lasso,Second Team,Wofford College
1343,2012,Kees,Heemskerk,Second Team,Coll NOT APPLICABLE
1344,2012,Peyton,Ford,Second Team,UNCG NOT APPLICABLE
1345,2013,Stanley,Broaden,First Team,Appalachian State NOT APPLICABLE
1346,2013,Valeriy,Sviderskiy,First Team,Davidson NOT APPLICABLE
1347,2013,Jason,Waterman,First Team,Elon NOT APPLICABLE
1348,2013,Witt,Carlisle,First Team,Georgia Southern NOT APPLICABLE
1349,2013,Daniel,Lovitz,First Team,Elon NOT APPLICABLE
1350,2013,Martin,Ontiveros,First Team,Furman University
1351,2013,Hunter,Norton,First Team,Georgia Southern NOT APPLICABLE
1352,2013,Connor,Davis,First Team,Wofford College
1353,2013,Harrison,Delbridge,First Team,Appalachian State NOT APPLICABLE
1354,2013,Reed,Norton,First Team,Georgia Southern NOT APPLICABLE
1355,2013,Mahdi,Ali,First Team,UNCG NOT APPLICABLE
1356,2013,Nathan,Dean,First Team,Elon NOT APPLICABLE
1357,2013,Matt,Wescoe,Second Team,Elon NOT APPLICABLE
1358,2013,Bobby,Edet,Second Team,Furman University
1359,2013,Matthew,Aurednik,Second Team,Wofford College
1360,2013,James,Brace,Second Team,Elon NOT APPLICABLE
1361,2013,Michael,Gandier,Second Team,Furman University
1362,2013,Oddur,Gudmundsson,Second Team,UNCG NOT APPLICABLE
1363,2013,Nick,Butterly,Second Team,Elon NOT APPLICABLE
1364,2013,Austin,Dunker,Second Team,Elon NOT APPLICABLE
1365,2013,Trevor,Haberkorn,Second Team,Furman University
1366,2013,Forrest,Lasso,Second Team,Wofford College
1367,2013,Sven,Lissek,Second Team,Furman University
1368,2014,Joao,Ramalho,First Team,ETSU NOT APPLICABLE
1369,2014,Will,Bagrou,First Team,Mercer NOT APPLICABLE
1370,2014,Matthew,Aurednik,First Team,Wofford College
1371,2014,Jordan,Duru,First Team,Mercer NOT APPLICABLE
1372,2014,Lukas,Zarges,First Team,UNCG NOT APPLICABLE
1373,2014,Connor,Davis,First Team,Wofford College
1374,2014,Carlos,Dominguez Gonzalez,First Team,Wofford College
1375,2014,Ashani,Samuels,First Team,Mercer NOT APPLICABLE
1376,2014,Aaron,Reifschneider,First Team,UNCG NOT APPLICABLE
1377,2014,Forrest,Lasso,First Team,Wofford College
1378,2014,Greg,Ranjitsingh,First Team,Mercer NOT APPLICABLE
1379,2014,Bobby,Edet,Second Team,Furman University
1380,2014,Lewis,Hawke,Second Team,Furman University
1381,2014,Nestor,Jaramillo,Second Team,Wofford College
1382,2014,Anthony,Wojas,Second Team,ETSU NOT APPLICABLE
1383,2014,Adrian,McInnis,Second Team,Furman University
1384,2014,Kevin,Pahl,Second Team,Furman University
1385,2014,Nick,Muth,Second Team,ETSU NOT APPLICABLE
1386,2014,Ian,Antley,Second Team,Mercer NOT APPLICABLE
1387,2014,Ryan,Hurst,Second Team,Wofford College
1388,2014,Sven,Lissek,Second Team,Furman University
1389,2014,Alex,Guerra,Second Team,VMI NOT APPLICABLE
1390,2015,Fletcher,Ekern,First Team,ETSU NOT APPLICABLE
1391,2015,Will,Bagrou,First Team,Mercer NOT APPLICABLE
1392,2015,Jacques,Francois,First Team,UNCG NOT APPLICABLE
1393,2015,James,Smith,First Team,ETSU NOT APPLICABLE
1394,2015,Adrian,McInnis,First Team,Furman University
1395,2015,Jordan,Duru,First Team,Mercer NOT APPLICABLE
1396,2015,Leeroy,Maguraushe,First Team,UNCG NOT APPLICABLE
1397,2015,Ian,Antley,First Team,Mercer NOT APPLICABLE
1398,2015,Hugo,Coicaud,First Team,UNCG NOT APPLICABLE
1399,2015,Connor,Davis,First Team,Wofford College
1400,2015,Alex,Guerra,First Team,VMI NOT APPLICABLE
