University of Notre Dame
2008
Potential_Starts: 21
14 Bright Dike 21-21
8 Michael Thomas 21-21
12 Jeb Brovsky 21-21
6 Dave Donohue 21-20
21 Justin Morrow 21-21
18 Brendan King 21-0
10 Tamba Samba 17-0
11 Steven Perry 20-0
5 Jack Traynor 21-21
17 Matt Besler 21-21
22 Josh Thiermann 14-0
19 Alex Yoshinaga 21-21
15 Matt Armstrong 21-21
2 Aaron Maund 21-21
26 Chris Sutton 3-0
13 Cory Rellas 6-0
9 Kyle Dagan 7-1
0 Andrew Quinn 16-16
00 Philip Tuttle 7-5
